USER,LOCATION,CREATED,TWEET,FAVCOUNT,COORDS,FOLLOWERS,sentiment
@zoloyrry,BOGOTA,2020-04-11 01:33:01,"Bogotá la mitad contagiados del virus de pais, con proyecciones preocupantes Claudia López NO ha gestionado ni mercados para necesitados ni pruebas covid19, ni respiradores, ni recursos para nada para el sector salud NADA solo aparece para  hacer populismo y criticar a los demás",0,,891,0.014955314001330206
@kimvalenciaa,CALI,2020-04-11 01:33:01,I hate this virus man. I hate every single cell of it.,0,,1182,0.04024689779309552
@mariafsalazarm,COLOMBIA,2020-04-11 01:33:01,Yo no sé cuándo se va a acabar la cuarentena así que procedo a comer hayaca😂,0,,26,0.164759826754321
@AlvaroGasca2,BOGOTA,2020-04-11 01:33:04,"Entiendo las sanciones pedagógicas, pero esto va contra nuestra constitución y atenta contra la libertad de la gente, poner a rezar a un no creyente es una violación flagrante de derechos",0,,85,0.04223327205075922
@jorgesoft,MEDELLIN,2020-04-11 01:33:04,En plena pandemia @ClaudiaLopez gasta 6000 millones de pesos en publicidad. Además 1200 millones en una encuesta y un reportaje de 8 páginas en El Tiempo. Todo para que uds crean que lo está “haciendo bien” sabiendo que Bogotá es la ciudad con más contagiados. DESCARO! https://t.co/yVFYV5Rb7c,0,,1054,0.04014927392185935
@jotagarcias,BOGOTA,2020-04-11 01:33:05,"El 9 de enero moría un chino de 61 años en Wuhan. Era la primera víctima mortal oficialmente conocida de un nuevo virus, SARS-CoV-2. Más de tres meses después, 100.000 personas han sucumbido a la pandemia, llamada covid-19. https://t.co/4gVzqBqj4x",0,,172,0.11707283312894806
@mc_mm333,COLOMBIA,2020-04-11 01:33:07,En Chile aprobaron ley que ordena devolución de impuestos del 100% a los trabajadores independientes para apoyarlos durante la pandemia. ¡Aquí nos aprobaron préstamos!,0,,223,0.5391656985067398
@Dayannap_03,BUCARAMANGA,2020-04-11 01:33:07,"Estoy empezando a extrañar a un exxx, la cuarentena ya me volvio estúpida🤯",0,,197,0.1143146526124457
@AlirioQ75695659,FUSAGASUGA,2020-04-11 01:33:07,"Colombia, país en el que ni una pandemia impide que los políticos roben.",0,,18,0.28681204803658955
@Fernanda_15569,COLOMBIA,2020-04-11 01:33:08,no teneis unas ganas bestiales de partir la discoteca con safaera cuando se acabe la puta cuarentena?????? yo si,0,,118,0.3239005212074179
@CAROTORO04,COLOMBIA,2020-04-11 01:33:12,"El aumento de la violencia doméstica y de las violencias contra la mujer en tiempo de cuarentena nos deja claro el mal que hace el machismo. Que nadie crea que no necesita re-aprender a percibir y relacionarse con las mujeres, para dejar a un lado toda manifestación machista.",0,,1324,0.035160242347596696
@ChichiQuinteroR,VALLEDUPAR,2020-04-11 01:33:13,"Nuestra solidaridad con el Senador @petrogustavo, elevamos oraciones a Dios por su recuperación. Espero que con el apoyo de su familia pueda superar este difícil momento para que siga haciendo  importantes aportes al país. ¡A la democracia le hace bien que exista una oposición!",0,,12417,0.30266646867448954
@JCDMwinner1133,BOGOTA,2020-04-11 01:33:15,"Soy covid 19 positivo, me tomé el examen nuevamente porque ayer cumplía mi cuarentena de 14 días desde que me tomé mi primer examen y sigo estando positiva. 19 días después de que empecé con los sintomas. Este virus dura más de lo que se cree, cuidense mucho porfavor! 🙏🏽",0,,914,0.012900016494557277
@JuanMan57493258,BOGOTA,2020-04-11 01:33:15,"Realmente, me estoy reafirmando en que lo de Petro es FAKE NEWS !!",0,,802,0.01132178754506622
@PaoLaPalma,BOGOTA,2020-04-11 01:33:17,"Que tal esta cuarentena en los ochenta, sin internet, con dos canales de TV y sin control remoto...",0,,757,0.01150784238938476
@Angiegars,BOGOTA,2020-04-11 01:33:18,#Poncho vino un ratito a calentarle la espaldita a Gus. https://t.co/XesNsjQjAa,0,,3909,0.324303438475222
@Margaritamsv,MEDELLIN,2020-04-11 01:33:20,El mundo vive una Semana Santa distinta en medio de la pandemia del coronavirus. Este sacerdote católico explica por qué debe ser un momento para repensar los valores humanos y regresar a lo esencial. https://t.co/ohHZ2TYCfP,0,,97,0.8782482413662674
@unatalmeloparra,BOGOTA,2020-04-11 01:33:22,"En mi ""última cena"" pre cuarentena, le di muchos besitos. Espero que cuando llegue la resurrección se tripliquen.",0,,556,0.6626309463018201
@s_dumit,ANTIOQUIA,2020-04-11 01:33:23,@nata_od Valiente!! Mamá- pandemia- responsabilidades con tía enferma... merecés🥇,0,,3743,0.051559787348646864
@bduranf,COLOMBIA,2020-04-11 01:33:24,"Panas, están circulando muchas denuncias sobre acoso y abuso sexual por parte de la policía en barrios populares, todo camuflado bajo el tema de control de la cuarentena.  ¿Qué hacemos?",0,,20,0.0162730398490991
